title,star,date,comment
さすがの最上位モデル,5,2023年5月21日,ドラム式洗濯乾燥機を、これまで２台(ナショナル(NA-VR1000)、日立(BD-S8800L))使用してきたことを含めてのレビューです。【デザイン】エッジの効いた箱型でいい。【使いやすさ】カラータッチパネルで使いやすい。説明書もいらない。洗剤や柔軟剤の残量不足が分かるなどスマホ連携も便利。【洗浄力】今までの他社製品と比較して、これが1番すごいと思いました。白色ワイシャツを日々洗濯していますが、普通に洗濯しただげでも、汚れ落ちが良く、白さが際立っています。抗菌ウルトラファインバブル洗浄EXの効果なのかは分かりませんが、洗濯するたび、すごいと思っています。【静音性】洗濯時は、静かです。乾燥時、それなりの音はしますが、他社も同じです。【サイズ】他社と同じサイズです。【機能・メニュー】当初、液体洗剤・柔軟剤の自動投入はいらないと思っていましたが、非常に便利。また、スマホ連携で外出先からもスタート出来て、帰宅時間に合わせられるのでいいと思います。乾燥フィルターのお手入れも楽です。【価格】北関東に居住していますが、2023年5月上旬、23万円(5年保証、設置、リサイクル、収集運搬費など全てコミコミ)で購入しました。【総評】購入後、約２週間を過ぎての総評です。抗菌ウルトラファインバブル洗浄EX、液体洗剤・柔軟剤自動投入、大型カラータッチパネルの東芝ドラム式洗濯乾燥機の最上位モデルを謳っているだけのことはあります。さすがです。他社の最上位モデルと比較し、価格面も考慮するなら、現時点でベストバイだと思います。
買いです,5,2023年5月7日,パナ縦型からの買い替えです。まず結論から、買って正解です。とてもオススメできます。自分の購入は4/12、本体価格23万、設置回収全て込みプラス延長保証で27万でした。操作性については、「洗濯のみ」「洗濯乾燥」「乾燥」で別れており、そこから更に選んでいく感じで、直感的にわかりやすいです。最上位機種はタッチパネルなので誰でも簡単に操作できます。機能面については、色々なものがついていますが、正直自分は使ったことはないです。ほぼ一般的な洗濯乾燥での使用です。洗浄力についてはこちらのZABOONはウルトラファインバブル洗浄とのことで汚れ落ちはYouTubeで検証している方の動画がありますので参考になると思います。自分で一番実感できたのは、衣類のニオイ残りのようなものが全くなくなったことです。以上からとても満足しています。乾燥については、これまで乾かなかったものは1つもありません。気温が高く晴れた日に外干ししても乾かなかった厚手のバスタオルが、かこちらの乾燥では水気一切なくふわふわに仕上がってきます。とてもすごい！ヒートポンプなので衣類縮もほとんどないです。(素材によっては小さくなったと感じるものもあります。)いつもは5から6キロで回して、時間は3.5から4時間です。急ぎでないときは乾燥を「省エネモード」で回していますが、こちらにするとプラス30分くらいです。その他、水温を上げたりするとまた時間がかかってきます。乾燥でデメリットがあるとすれば、6から7キロの量だと基本はシワが多くなります。Tシャツなどの普段着でシワの処理が面倒な場合は4から5キロで回せば気にならないです。あと、乾燥は動作音大きめなので住まいによっては気になるかもしれないです。ドア１枚挟めばほとんど分からない程度ですが。
デザイン、カラーがよい,5,2023年4月9日,高級感があるデザインです。タッチパネルも大型で使いやすい。乾燥時の音がちょっと大きめかな。パナソニックのが静かだった様な気がします。
最強のドラム洗濯機,5,2023年3月21日,"日立ビッグドラムから乗り換えました。【使いやすさ】タッチパネルは使いやすいです。アプリは運転状態や運転終了を通知してくれて、洗濯機から離れていても分かるのはありがたいです。【洗浄力】満足してます。ウルトラファインバブルは目に見えないものの、汚れ落ちは最良です。【静音性】洗い・すすぎ・脱水・乾燥全てにおいて静かになりました。日立の時は水を循環する音がやかましく、逆に東芝は悪く言えば強く吹き付けなくなったとも言えます。乾燥は格段に静かです。【サイズ】横に広かったビッグドラムと違って、奥行きと高さ方向に長いので、狭い場所に設置する場合は要確認です。我が家の場合は直上にランドリーラックを置いていたので、買い替えました。【機能・メニュー】良く使うメニュー順にコースを並べ替えられないのは若干面倒です。ドラム式の弱点は乾燥ダクトの詰まりによる乾燥不良であると思っていたので、自動洗浄されるのは良いことですが、初期設定がOFFなのは理解出来ません。【総評】東芝前機種で「水漏れするのはリコールでは？」との声がありますが、日立でも２回ドアパッキンから水漏れしました。日立サービスさんに言わせると「冬の冷たい水から50から60℃まで対応させ、取り出しやすくするためとはいえドラムをななめにしていることも水漏れしてしまう理由ではないかと思う」と聞いていたので、水漏れ上等の覚悟（＝延長保証必須）で買わないと後悔します。理想は縦型の上に乾燥機を設置することです。費用も10万あれば揃いますしね。一方で洗乾コースや乾燥を重視するのであればドラム式は便利この上ないです。今回、寿命を全うしたことによる急な故障で買い替えましたが、機種選定は半年前から準備していたことによりスムーズに進みました。風アイロンも捨てがたいですが、ヒートリサイクル式を継続していればビッグドラムを再購入していたことでしょうが、ヒーター式は御時世的に手が出ません。我が家の場合は防水パンが無く真下排水という特殊環境なので""かさ上げ脚""と呼ばれる部品について調査したところ、純正は振動を抑えることに長けているとのブログを見ていたので、下手にAmazonで類似品を購入せずに純正品を購入しました。日立の純正品と比較しても重いし大きくて立派なので、効果に違いを感じられると思いますよ！最後に購入した金額等を記しておきます。2023年3月、エディオン、設置・リサイクル全て込みで税込25.8でした。"
スマホ操作できて音が静か,5,2023年3月12日,【デザイン】ブラウンですが落ち着いて良い色です。【使いやすさ】お任せコースのみの使用ですが問題ありません。【洗浄力】同上です。【静音性】静かです。【サイズ】マンション使用ですが、設置の際、排水口への設置がうまくいかず追加料金がかかりました。洗濯機というよりマンションの構造の問題でしたが、ヤマダ電機さんが部品代追加でうまく設置してくれました。【機能・メニュー】色々ありますが、お任せコースしか使ってません。【総評】約30万円なので悪いはずはありませんが、電化製品や自動車その他、世の中ほとんどの製品が値上がりしている中で質が上がっているぶん合格だと思います。
洗濯乾燥96分て本当なのか。。？,4,2023年3月5日,パナ NA-VX7100Lからの買い替えです。10年以上無故障で使ってきたものの、そろそろ、いつ壊れてもおかしくないな、と買い替えました。【デザイン】シャープで角張ったデザイン、格好良いです。ただ、液晶ガラス面とプラスチック部分の継ぎ目が残念すぎます。ガラス面の横幅が大きくプラスチックに寸法が合ってないような。販売店にいた東芝の営業の方は、設計上どうしても仕方ないとの事でした。（写真参照）【使いやすさ】タッチパネルなので使いやすいです。ただ敏感すぎて、少し手が触れただけでもピッ！と設定変わってしまいます。【洗浄力】正直変化は感じませんが、頑固な汚れとか取れやすいのでしょうか？【静音性】洗濯時はパナより静かです。回転時の唸り音も無いですし。ただ、乾燥時は凄い音ですね。低騒音低振動設計！と謳われてますが、これは洗濯時のみの話ですね。【サイズ】パナと変わらず（高さは高いですが）容量アップされてたので助かってます。購入の決め手はこの洗濯乾燥容量が増えた事と価格のバランスです。【機能・メニュー】色々ありますが、シンプルが一番です。こちらは、色々メニューにありすぎてタッチパネルなのに操作に悩んでしまいます。【総評】本当はパナにしようと思いましたが、遥かに安く容量も大きいため、こちらにしました。すごく気になってるのは、洗濯時間がNA-VX7100Lは30分で済んでたのが、こちらは45分、洗濯から乾燥まで96分と店員から言われ、凄い！と買いましたが、規定容量以下でも最初に表示される時間はデフォルトで6時間、延長が重なり7時間弱は余裕でかかります。これって虚偽にならないのでしょうか？雑誌でも96分が凄く評価されてました。店員もそれをアピールしてました。96分で乾燥まで終えた経験ある方、いらっしゃったら教えて下さい。---2023.3.5追記販売店に申し出たらメーカーサービスにて点検するとの事でサービスに点検いただきました。そもそも、何も入れずに空の状態で洗濯から乾燥をかけても最初の表示時間2時間45分と出て、これは流石におかしいとの事で交換になりました。交換品がどうなるか分かりませんが搬出入もだいぶ大変なので、次来る交換品が良品である事を願います。隙間についてはサービスに聞いたら、プラスチックの形成不良が起きるとのこと。隙間あるのと目立たないのがあり、余程でないと規格内になり不良にはならないとの事でした。次は隙間目立たない個体が来るのを願います。
買って後悔はなし,4,2023年2月19日,【デザイン】シンプルでいいです。ただ、表面加工がないため傷は目立つと思います。パナソニックの方がそういった点も含めたら表面がマット加工されておりパーフェクトに近いと感じました。（経年劣化などを考えると変わらないかもしれないのでなんとも言えませんが…）【使いやすさ】タッチパネルのため操作が順々に出来てボタン式より分かりやすいです。ワンタッチで捨てられる乾燥フィルターも助かります。ゴムパッキンは手動のためやはり総合点はパナソニックのライバル機に敵わない印象になります。【洗浄力】十分です。これで落ちないならもう手洗いしたりウタマロ石鹸使うくらいした方がいいと思います。ただ、私は一人暮らしで、比較対象も10年前に買った単身用の縦型洗濯機のため、お子さんのいる家庭やもっと新しい洗濯機をお使いの方はもう少し変わってくるかもしれません。【静音性】乾燥時はなかなかな音が鳴ります。マンション、アパートでの深夜の運転はちょっときつそうです。【サイズ】我が家の防水パンは内寸が小さめですが問題ありませんでした。レギュラードラムの中ではコンパクトだと思います。【機能・メニュー】ありすぎて試し切れていませんが豊富だと思います。スマホとリンクできて、外から開始できたりするだけでなく、地味に便利だなと思ったのは残り時間が外から確認できることです。その時間に合わせてある程度行動を決められます。【総評】10年前の縦型からの乗り換えでは流石に欠点が見当たらないくらいに感じます。洗濯ハンガーなども不要になり、場所の確保もできました。あとは耐久性だけです
買ってよかった！！,5,2023年1月16日,【デザイン】白い色が清潔感があってよい【使いやすさ】タッチパネルで簡単操作【洗浄力】今まで縦型洗濯乾燥機を使ってましたがよく落ちますし男性の衣類の臭い残りもありません。（夫油を多く使う飲食店、息子運動部で臭いきつめですが）保育園児の泥汚れも特定のコースで洗うとよく落ちます。感激でした。。。【静音性】前の１２キロ洗い乾燥６キロタイプのビートウォッシュより静か【サイズ】前のタイプより前に少しせり出しているけどそんな圧迫感はない【機能・メニュー】お急ぎコースはとても使える乾燥時間少し長いような？設定で変えられるのでしょうか？？【総評】今のところ不満は一切ない買ってよかった！洗濯機の中はライトがついて覗けるのですが１歳のチビは中の様子をずーーっと見つめてます。強いて不満を探すとすれば乾燥時間に到達しても回っている？なぜ？お掃除も３カ所あるけど他の1カ所のタイプと比較してけど配管からの臭い戻りがでてくるかもと言われ臭い恐怖症の私はこちらに変えました。フィルター掃除は苦ではありません。乾燥後ポーン！と埃が飛び出してくるので子どもは喜んでますｗドラム式初めて購入しましたがタオルケットふわふわで自宅にあるもの全部洗ってみましたが全部ふわふわで臭いもちゃんと取れてました。※男性の枕カバー何度洗っても臭い取れなかったがこの洗濯機では取れました。洗剤の種類は変えてません。
最高の洗濯機,5,2022年12月15日,【デザイン】丸っこいデザインが嫌なので、カクカクしていていい感じです。搬入してくれた作業員の方もいろいろ運ぶけど、洗濯機はこの機種が一番好みだと言っていました。男受けする形なのだろうか。【使いやすさ】説明書は全く読んでいません。パネル操作を普通にやっていれば普通にできます。【洗浄力】今まで日立の縦型を使っていましたが、洗浄力は確実に上がりました。【静音性】脱水時や洗濯時の音は今までの洗濯機の中で一番静かです。他のサイトで「うるさい」との書き込みを見たので心配したのですがそれは故障しているのでは？と思ってしまいます。【サイズ】大きいサイズの洗濯機を探していたのでこれでいいです。【機能・メニュー】使いきれない機能がたくさんあり、持て余しています。【総評】今までドラム式は、汚れが落ちない・うるさい・費用高い・維持費高いなどと思って手を出しませんでしたが、今回買ってみて間違いだったと気付きました。もっと早く買えばよかった。乾燥まで洗濯機がやってしまうのでベランダの利用方法を再検討する必要が出てきました。嬉しい悲鳴です。
作りが雑です,3,2022年11月7日,【デザイン】ブラウンを買いましたがシックな色合いで、カタチも四角いのでスタイリッシュに感じます。液晶が大きい。【使いやすさ】Panasonicドラム式洗濯機からの買い替えですが見た目のスタイリッシュさとは相反して操作性はあまり良くないです。メニューも水の量が多め少なめなどは選べないので本当に洗濯機にお任せして使うしかない。【洗浄力】使い始めなためか、洗えていないのか独特な匂いがします。洗い上がりもパサパサして香りも独特なので清潔な匂いはしない。【静音性】Panasonicドラム式洗濯機との比較になりますが、Panasonicに比べたら音は静かです。【サイズ】防水パンには収まらず、足台を使っています。パナの扉が前に膨らんでいた分、TOSHIBAは扉もほぼ平らで膨らみがないのでスッキリしたサイズ感です。【機能・メニュー】ほぼお任せモードを使用している。そのほかのメニューは容量のしばりがあり使いずらい。【総評】本体自体の独特な匂いが何日経っても消えません。結構高い洗濯機なのですが、他社の洗濯機に比べて乾燥フィルターの蓋や扉、本体等至る所に傷がつきやすいです。雑に扱うことなく乾燥フィルターの掃除のために洗濯機の上に優しく置いていただけでもどんどん傷が増えていきます。旧型でも言われていましたが、液晶パネルと本体の繋ぎ目に最大4ミリ程のすきまがあり、そこにホコリや湿気などが入りそうで心配です。パネルの中央部分が少し押すとパキパキと音を立てているので空洞のようで所々、作りに雑さを感じるところがあります。プラスチックも淵がかけていたり、ギザギザしているので全体的に言っても国内製造のメーカーの洗濯機の方が安心だと感じました。扉の開け閉めをしているだけなのにガラス部分に傷ができていたり長期使用に耐えられるのか？と疑問に思います。初期不良なのか初めからこう言ったチープな作りなのかわかりませんが、見た目だけ高級感があるだけで作りは安っぽいです。【追記します】購入した家電量販店へ上記の液晶パネルの隙間、傷や本体の軋みについて相談したところ、不具合かもしれないとのことで本体交換となりました。本体交換後は軋みは無くなりましたが、液晶パネルの反応が悪い。新型で上位機種を買ったのに次はTOSHIBAは考え物だなと思いました。本体交換して同じ機種でもこんなに個体差があるのかと思う位、洗濯機の作りにばらつきがあるのではと思いました。いい洗濯機ではありますが、届いた製品がジャンク品じゃないかよく確認し違和感があれば購入店に相談することをお勧めします。
